scheme,N,category,operation,batch1_per_item_ms,batch1_n,batch100_per_item_ms,batch100_n,diff,margin_pct,margin,se,df,ci_low,ci_high,p_lower,p_upper,verdict,real_difference_outside_margin
CKKS,4096,3,decrypt,0.02465035,100,0.025703490000000002,10,0.001053140000000001,0.1,0.0024650350000000004,0.0004883256399166439,20.13799570198728,0.0002111957487054909,0.0018950842512945112,2.71252513543617e-07,0.004492634095120466,equivalent_within_margin,False
CKKS,4096,3,encrypt,0.88896555,100,0.8472027,10,-0.04176285000000002,0.1,0.088896555,0.004666711207598588,59.49429372258032,-0.04956032516396105,-0.03396537483603899,8.054128798137835e-15,2.96308693586288e-36,equivalent_within_margin,False
CKKS,4096,5,add,0.00958286,100,0.010646371000000002,10,0.0010635110000000014,0.1,0.000958286,0.00028294346020596277,23.50961805201571,0.0005790226680385353,0.0015479993319614674,1.2374744044787964e-07,0.6433486180428665,equivalence_not_established,False
CKKS,4096,5,decrypt,0.02595376,100,0.0246239,10,-0.0013298599999999987,0.1,0.002595376,0.0002526838472690865,105.79414147228007,-0.0017491596603137365,-0.0009105603396862608,1.104010818583826e-06,2.344268425304053e-29,equivalent_within_margin,False
CKKS,4096,5,encrypt,0.83652811,100,0.830972,10,-0.005556110000000003,0.1,0.08365281100000001,0.002829535769501399,92.88721332400212,-0.010257168556766515,-0.0008550514432334897,7.511177197062087e-47,1.0528274873545395e-51,equivalent_within_margin,False
CKKS,8192,1,add,0.06342383,100,0.06354698,10,0.00012315000000000242,0.1,0.006342383,0.0027702399676071895,14.854674141987706,-0.0047363419815867995,0.004982641981586804,0.017035394905625636,0.02021571562730468,equivalent_within_margin,False
CKKS,8192,1,decrypt,0.14580342,100,0.145677,10,-0.0001264199999999882,0.1,0.014580342,0.0009492263632681261,57.661738138444285,-0.0017132530447061213,0.0014604130447061449,3.634086847103309e-22,1.6218174778954297e-22,equivalent_within_margin,False
CKKS,8192,1,encrypt,2.8146763,100,2.784455,10,-0.030221300000000006,0.1,0.28146763,0.024201419813577672,22.048422135348865,-0.07177462389542458,0.011332023895424571,2.9697522806956594e-10,4.8983947181917046e-12,equivalent_within_margin,False
CKKS,8192,1,multiply,0.53878839,100,0.4267514,10,-0.11203699,0.1,0.053878839000000005,0.003526973237803316,102.08956040815949,-0.11789147152611405,-0.10618250847388595,1.0,2.5694301333020616e-71,equivalence_not_established,True
CKKS,8192,1,relinearize,1.878788,100,1.911231,10,0.032443,0.1,0.1878788,0.011562547578062087,38.8718002040468,0.01295998806821945,0.05192601193178055,1.2754764771255749e-21,1.6907919459166006e-16,equivalent_within_margin,False
CKKS,8192,3,add,0.04193199,100,0.04065128,10,-0.0012807100000000043,0.1,0.004193199000000001,0.001189022988978002,82.13704470655574,-0.0032587894120074475,0.0006973694120074388,0.0082162367955206,7.481347426141734e-06,equivalent_within_margin,False
CKKS,8192,3,decrypt,0.09845343,100,0.09894276999999999,10,0.0004893399999999909,0.1,0.009845343,0.0010288403088983935,59.29779836043776,-0.0012298101473572395,0.0022084901473572215,1.0273941443552579e-14,3.8126525821308033e-13,equivalent_within_margin,False
CKKS,8192,3,encrypt,2.2096926,100,2.2849209999999998,10,0.07522839999999986,0.1,0.22096926,0.0474637565964268,9.062394064841621,-0.011709874469258724,0.16216667446925845,7.347778354707945e-05,0.0066175749114163115,equivalent_within_margin,False
CKKS,8192,3,multiply,0.30150349,100,0.2879083,10,-0.01359518999999998,0.1,0.030150349,0.001561219108403251,17.969844365928246,-0.016302689383292074,-0.010887690616707885,1.8294491162313076e-09,1.3960038781836498e-16,equivalent_within_margin,False
CKKS,8192,3,relinearize,1.1387812,100,1.188189,10,0.0494078,0.1,0.11387812,0.006461925101373236,29.035032671844082,0.03842860536472579,0.060386994635274215,1.282938586142211e-21,3.4323910603472097e-11,equivalent_within_margin,False
CKKS,8192,5,add,0.02153866,100,0.02042583,10,-0.0011128300000000022,0.1,0.0021538660000000004,0.0007501192261294806,51.34538422741249,-0.0023693370881143812,0.00014367708811437716,0.08559150484028767,3.187304320848587e-05,equivalence_not_established,False
CKKS,8192,5,decrypt,0.04803967,100,0.050671970000000004,10,0.002632300000000004,0.1,0.004803967,0.0014563806560841715,10.602138875383769,7.79737025997278e-06,0.005256802629740036,0.00019136905474093088,0.0825328899630521,equivalence_not_established,False
CKKS,8192,5,encrypt,1.6966312000000001,100,1.73833,10,0.041698799999999814,0.1,0.16966312000000003,0.018974139560097584,13.856718145366125,0.008255021032154884,0.07514257896784474,1.340962862379273e-08,4.959218911216443e-06,equivalent_within_margin,False
