library,scheme,N,category,scenario,operation,batch_size,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,2048,3,edge_batch,add,1,energy_pkg_j_per_op,0.12379396190476191,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,add,1,peak_memory_mb,5.26171875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,add,10,latency_ms,0.07321946666666666,0.0036759972865298357,0.07184682672117029,0.07459210661216303,0.072025,0.0710755,0.07385125,HIGH_VARIANCE;reduced_reps_at_batch_size
SEAL,BFV,2048,3,edge_batch,add,10,throughput_items_per_sec,136575.70117964988,,,,,,,HIGH_VARIANCE;reduced_reps_at_batch_size
SEAL,BFV,2048,3,edge_batch,add,10,energy_pkg_j_per_op,0.0470869303030303,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,add,10,peak_memory_mb,6.3515625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,add,100,latency_ms,1.047237,0.01895266035269043,1.0336790835301866,1.0607949164698134,1.04305,1.0327825000000002,1.06169,reduced_reps_at_batch_size
SEAL,BFV,2048,3,edge_batch,add,100,throughput_items_per_sec,95489.36869113678,,,,,,,reduced_reps_at_batch_size
SEAL,BFV,2048,3,edge_batch,add,100,energy_pkg_j_per_op,0.024453106666666665,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,add,100,peak_memory_mb,17.640625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,decrypt,1,latency_ms,0.11948690000000001,0.004846859000602057,0.11852517802090563,0.12044862197909438,0.117705,0.116849,0.119654,
SEAL,BFV,2048,3,edge_batch,decrypt,1,throughput_items_per_sec,8369.118288280974,,,,,,,
SEAL,BFV,2048,3,edge_batch,decrypt,1,energy_pkg_j_per_op,0.10891218095238095,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,decrypt,1,peak_memory_mb,5.17578125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,decrypt,10,latency_ms,1.200549,0.02191628922624166,1.192365323107956,1.2087326768920441,1.19913,1.1952975,1.2089425,reduced_reps_at_batch_size
SEAL,BFV,2048,3,edge_batch,decrypt,10,throughput_items_per_sec,8329.522576754467,,,,,,,reduced_reps_at_batch_size
SEAL,BFV,2048,3,edge_batch,decrypt,10,energy_pkg_j_per_op,0.0389774393939394,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,decrypt,10,peak_memory_mb,6.03515625,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,3,edge_batch,decrypt,100,latency_ms,12.187899999999999,0.06937939175288264,12.13826897297753,12.237531027022468,12.186399999999999,12.143175000000001,12.209775,reduced_reps_at_batch_size
