library,scheme,N,category,scenario,operation,fill_pct,n_real,slot_count,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,CKKS,8192,1,packing,add,0.0,1,4096,peak_memory_mb,17.2421875,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,0.1,410,4096,latency_ms,2.7851927,0.04649062157743823,2.7759679520576257,2.7944174479423745,2.77967,2.754625,2.8070625000000002,
SEAL,CKKS,8192,1,packing,encrypt,0.1,410,4096,latency_per_value_ms,0.006793152926829268,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,0.1,410,4096,throughput_items_per_sec,147207.04962353234,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,0.1,410,4096,energy_pkg_j_per_op,0.1718637904761905,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,0.1,410,4096,peak_memory_mb,16.5546875,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,0.5,2048,4096,latency_ms,2.8171106,0.06070740566575601,2.8050649336591174,2.8291562663408825,2.8023499999999997,2.7782,2.8369025,
SEAL,CKKS,8192,1,packing,encrypt,0.5,2048,4096,latency_per_value_ms,0.00137554228515625,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,0.5,2048,4096,throughput_items_per_sec,726986.011837803,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,0.5,2048,4096,energy_pkg_j_per_op,0.1951148,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,0.5,2048,4096,peak_memory_mb,16.375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,1.0,4096,4096,latency_ms,2.8111309,0.13877404660927464,2.7835951184277636,2.838666681572237,2.797035,2.77379,2.812835,
SEAL,CKKS,8192,1,packing,encrypt,1.0,4096,4096,latency_per_value_ms,0.0006863112548828126,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,1.0,4096,4096,throughput_items_per_sec,1457064.841768841,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,1.0,4096,4096,energy_pkg_j_per_op,0.18772222857142856,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,1.0,4096,4096,peak_memory_mb,16.5625,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,0.0,1,4096,latency_ms,2.8300215,0.09668730075883959,2.8108366418831174,2.8492063581168825,2.8044700000000002,2.785885,2.8335475000000003,
SEAL,CKKS,8192,1,packing,encrypt,0.0,1,4096,latency_per_value_ms,2.8300215,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,0.0,1,4096,throughput_items_per_sec,353.3542059662798,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,encrypt,0.0,1,4096,energy_pkg_j_per_op,0.17397477142857143,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,encrypt,0.0,1,4096,peak_memory_mb,16.50390625,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,0.1,410,4096,latency_ms,0.47965042,0.02351068192007775,0.47498539063908257,0.48431544936091747,0.47460800000000003,0.46552275,0.48676700000000006,
SEAL,CKKS,8192,1,packing,multiply,0.1,410,4096,latency_per_value_ms,0.0011698790731707318,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,0.1,410,4096,throughput_items_per_sec,854789.2025196183,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,0.1,410,4096,energy_pkg_j_per_op,0.2728477714285714,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,0.1,410,4096,peak_memory_mb,17.828125,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,0.5,2048,4096,latency_ms,0.47327553,0.019518264735678227,0.4694026828245916,0.4771483771754084,0.470615,0.45931649999999996,0.4801155,
SEAL,CKKS,8192,1,packing,multiply,0.5,2048,4096,latency_per_value_ms,0.0002310915673828125,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,0.5,2048,4096,throughput_items_per_sec,4327289.010695313,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,0.5,2048,4096,energy_pkg_j_per_op,0.27148370476190475,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,0.5,2048,4096,peak_memory_mb,17.80859375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,1.0,4096,4096,latency_ms,0.47453663,0.021091970576048814,0.4703515254440642,0.4787217345559358,0.470154,0.459855,0.48310575,
SEAL,CKKS,8192,1,packing,multiply,1.0,4096,4096,latency_per_value_ms,0.00011585366943359375,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,1.0,4096,4096,throughput_items_per_sec,8631578.135496095,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,1.0,4096,4096,energy_pkg_j_per_op,0.2608218476190476,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,1.0,4096,4096,peak_memory_mb,17.8203125,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,0.0,1,4096,latency_ms,0.47347409,0.02121702541823143,0.46926417185029057,0.47768400814970946,0.467775,0.460928,0.47988725,
SEAL,CKKS,8192,1,packing,multiply,0.0,1,4096,latency_per_value_ms,0.47347409,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,0.0,1,4096,throughput_items_per_sec,2112.04798978546,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,packing,multiply,0.0,1,4096,energy_pkg_j_per_op,0.25936798095238095,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,packing,multiply,0.0,1,4096,peak_memory_mb,17.91796875,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,1,packing,size,0.1,819,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,1,packing,size,0.5,4096,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,1,packing,size,1,8192,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BFV,8192,1,packing,size,0,1,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BGV,8192,1,packing,size,0.1,819,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BGV,8192,1,packing,size,0.5,4096,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BGV,8192,1,packing,size,1,8192,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,BGV,8192,1,packing,size,0,1,8192,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,CKKS,8192,1,packing,size,0.1,410,4096,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,CKKS,8192,1,packing,size,0.5,2048,4096,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,CKKS,8192,1,packing,size,1,4096,4096,size_bytes,393329,,,,,,,deterministic_single_measurement
SEAL,CKKS,8192,1,packing,size,0,1,4096,size_bytes,393329,,,,,,,deterministic_single_measurement
